,Date,Portfolio_Value,Cash,Exposure,Total_Shares,Price
298,2016-03-09,110670.10759067535,72233.64146137238,0.3498075547218323,2222,17.298139572143555
299,2016-03-10,110751.73818683624,72233.64146137238,0.3498075547218323,2222,17.334877014160156
300,2016-03-11,112593.46361637115,72233.64146137238,0.3498075547218323,2222,18.16373634338379
301,2016-03-14,112445.50206851959,72233.64146137238,0.3498075547218323,2222,18.09714698791504
302,2016-03-15,112277.15512180328,72233.64146137238,0.3498075547218323,2222,18.02138328552246
303,2016-03-16,112960.7907037735,72233.64146137238,0.3498075547218323,2222,18.329050064086914
304,2016-03-17,113715.85146808624,72233.64146137238,0.3498075547218323,2222,18.668861389160156
305,2016-03-18,114195.41267871857,72233.64146137238,0.3498075547218323,2222,18.884685516357422
306,2016-03-21,114404.58128070831,72233.64146137238,0.3498075547218323,2222,18.97882080078125
307,2016-03-22,114328.04915332794,114328.04915332794,0.0,0,18.944377899169922
308,2016-03-23,114328.04915332794,114328.04915332794,0.0,0,18.579315185546875
309,2016-03-24,114328.04915332794,114328.04915332794,0.0,0,18.551761627197266
310,2016-03-28,114328.04915332794,114328.04915332794,0.0,0,18.574726104736328
311,2016-03-29,114328.04915332794,114328.04915332794,0.0,0,19.102806091308594
312,2016-03-30,114328.04915332794,114328.04915332794,0.0,0,19.353065490722656
313,2016-03-31,114328.04915332794,114328.04915332794,0.0,0,19.19234848022461
314,2016-04-01,114328.04915332794,114328.04915332794,0.0,0,19.564300537109375
315,2016-04-04,114328.04915332794,114328.04915332794,0.0,0,19.387510299682617
316,2016-04-05,114328.04915332794,114328.04915332794,0.0,0,18.813512802124023
317,2016-04-06,114328.04915332794,114328.04915332794,0.0,0,19.41506004333496
318,2016-04-07,114328.04915332794,114328.04915332794,0.0,0,18.721664428710938
319,2016-04-08,114328.04915332794,114328.04915332794,0.0,0,18.882383346557617
320,2016-04-11,114328.04915332794,114328.04915332794,0.0,0,18.7331485748291
321,2016-04-12,114328.04915332794,114328.04915332794,0.0,0,19.272706985473633
322,2016-04-13,114328.04915332794,114328.04915332794,0.0,0,19.837520599365234
323,2016-04-14,114328.04915332794,114328.04915332794,0.0,0,19.853601455688477
324,2016-04-15,114328.04915332794,114328.04915332794,0.0,0,19.775537490844727
325,2016-04-18,114328.04915332794,114328.04915332794,0.0,0,20.193410873413086
326,2016-04-19,114328.04915332794,114328.04915332794,0.0,0,20.3793888092041
327,2016-04-20,114328.04915332794,114328.04915332794,0.0,0,20.429899215698242
328,2016-04-21,114328.04915332794,114328.04915332794,0.0,0,20.106163024902344
329,2016-04-22,114328.04915332794,114328.04915332794,0.0,0,20.115345001220703
330,2016-04-25,114328.04915332794,114328.04915332794,0.0,0,20.002843856811523
331,2016-04-26,114328.04915332794,114328.04915332794,0.0,0,20.113046646118164
332,2016-04-27,114328.04915332794,114328.04915332794,0.0,0,20.207189559936523
333,2016-04-28,114328.04915332794,114328.04915332794,0.0,0,19.660734176635742
334,2016-04-29,114328.04915332794,114328.04915332794,0.0,0,19.341588973999023
335,2016-05-02,114328.04915332794,114328.04915332794,0.0,0,19.793903350830078
336,2016-05-03,114328.04915332794,114328.04915332794,0.0,0,19.28648567199707
337,2016-05-04,114328.04915332794,114328.04915332794,0.0,0,18.960453033447266
338,2016-05-05,114328.04915332794,114328.04915332794,0.0,0,18.93978500366211
339,2016-05-06,114328.04915332794,114328.04915332794,0.0,0,19.151020050048828
340,2016-05-09,114328.04915332794,114328.04915332794,0.0,0,19.20842742919922
341,2016-05-10,114328.04915332794,114328.04915332794,0.0,0,19.885740280151367
342,2016-05-11,114328.04915332794,114328.04915332794,0.0,0,19.378328323364258
343,2016-05-12,114328.04915332794,114328.04915332794,0.0,0,19.359960556030273
344,2016-05-13,114328.04915332794,114328.04915332794,0.0,0,18.847946166992188
345,2016-05-16,114328.04915332794,114328.04915332794,0.0,0,19.394397735595703
346,2016-05-17,114328.04915332794,114328.04915332794,0.0,0,18.88927459716797
347,2016-05-18,114328.04915332794,114328.04915332794,0.0,0,18.88927459716797
348,2016-05-19,114328.04915332794,114328.04915332794,0.0,0,18.689525604248047
349,2016-05-20,114328.04915332794,114328.04915332794,0.0,0,19.013256072998047
350,2016-05-23,114328.04915332794,114328.04915332794,0.0,0,18.955860137939453
351,2016-05-24,114328.04915332794,114328.04915332794,0.0,0,19.69058609008789
352,2016-05-25,114328.04915332794,114328.04915332794,0.0,0,20.064830780029297
353,2016-05-26,114328.04915332794,114328.04915332794,0.0,0,20.099273681640625
354,2016-05-27,114328.04915332794,114328.04915332794,0.0,0,20.344942092895508
355,2016-05-31,114328.04915332794,114328.04915332794,0.0,0,20.25080680847168
356,2016-06-01,114328.04915332794,114328.04915332794,0.0,0,20.36101531982422
357,2016-06-02,114328.04915332794,114328.04915332794,0.0,0,20.542402267456055
358,2016-06-03,114328.04915332794,114328.04915332794,0.0,0,20.37249755859375
359,2016-06-06,114328.04915332794,114328.04915332794,0.0,0,20.66868019104004
360,2016-06-07,114328.04915332794,114328.04915332794,0.0,0,20.758228302001953
361,2016-06-08,114328.04915332794,114328.04915332794,0.0,0,20.955684661865234
362,2016-06-09,114328.04915332794,114328.04915332794,0.0,0,20.882213592529297
363,2016-06-10,114328.04915332794,114328.04915332794,0.0,0,20.296728134155273
364,2016-06-13,114328.04915332794,114328.04915332794,0.0,0,19.81226921081543
